GEO.id,GEOid2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Per capita income in the past 12 months (in 2016 inflation-adjusted dollars),Margin of Error; Per capita income in the past 12 months (in 2016 inflation-adjusted dollars)
1400000US18001030100,18001030100,"Census Tract 301, Adams County, Indiana",26834,2815
1400000US18001030200,18001030200,"Census Tract 302, Adams County, Indiana",22955,2630
1400000US18001030300,18001030300,"Census Tract 303, Adams County, Indiana",21342,2441
1400000US18001030400,18001030400,"Census Tract 304, Adams County, Indiana",26904,5344
1400000US18001030500,18001030500,"Census Tract 305, Adams County, Indiana",15143,1580
1400000US18001030600,18001030600,"Census Tract 306, Adams County, Indiana",21404,3659
1400000US18001030700,18001030700,"Census Tract 307, Adams County, Indiana",18029,1835
1400000US18003000100,18003000100,"Census Tract 1, Allen County, Indiana",21666,2654
1400000US18003000300,18003000300,"Census Tract 3, Allen County, Indiana",26504,4337
1400000US18003000400,18003000400,"Census Tract 4, Allen County, Indiana",23163,3024
1400000US18003000500,18003000500,"Census Tract 5, Allen County, Indiana",17969,3940
1400000US18003000600,18003000600,"Census Tract 6, Allen County, Indiana",17360,2876
1400000US18003000701,18003000701,"Census Tract 7.01, Allen County, Indiana",17313,2066
1400000US18003000704,18003000704,"Census Tract 7.04, Allen County, Indiana",21815,2631
1400000US18003000800,18003000800,"Census Tract 8, Allen County, Indiana",21770,2854
1400000US18003000900,18003000900,"Census Tract 9, Allen County, Indiana",17787,5260
1400000US18003001000,18003001000,"Census Tract 10, Allen County, Indiana",15009,1858
1400000US18003001100,18003001100,"Census Tract 11, Allen County, Indiana",25383,3123
1400000US18003001200,18003001200,"Census Tract 12, Allen County, Indiana",22812,4459
1400000US18003001300,18003001300,"Census Tract 13, Allen County, Indiana",19283,4624
1400000US18003001600,18003001600,"Census Tract 16, Allen County, Indiana",11540,1709
1400000US18003001700,18003001700,"Census Tract 17, Allen County, Indiana",9542,1494
1400000US18003002000,18003002000,"Census Tract 20, Allen County, Indiana",13275,2035
1400000US18003002100,18003002100,"Census Tract 21, Allen County, Indiana",10421,1378
1400000US18003002200,18003002200,"Census Tract 22, Allen County, Indiana",19021,2419
1400000US18003002300,18003002300,"Census Tract 23, Allen County, Indiana",10596,1066
1400000US18003002500,18003002500,"Census Tract 25, Allen County, Indiana",18644,1673
1400000US18003002600,18003002600,"Census Tract 26, Allen County, Indiana",16109,3078
1400000US18003002800,18003002800,"Census Tract 28, Allen County, Indiana",12543,2328
1400000US18003002900,18003002900,"Census Tract 29, Allen County, Indiana",12915,2247
1400000US18003003000,18003003000,"Census Tract 30, Allen County, Indiana",11528,2609
1400000US18003003100,18003003100,"Census Tract 31, Allen County, Indiana",11659,2134
1400000US18003003200,18003003200,"Census Tract 32, Allen County, Indiana",25626,2899
1400000US18003003301,18003003301,"Census Tract 33.01, Allen County, Indiana",18907,2366
1400000US18003003304,18003003304,"Census Tract 33.04, Allen County, Indiana",21387,4833
1400000US18003003400,18003003400,"Census Tract 34, Allen County, Indiana",23892,2936
1400000US18003003500,18003003500,"Census Tract 35, Allen County, Indiana",17332,1759
1400000US18003003600,18003003600,"Census Tract 36, Allen County, Indiana",17799,2689
1400000US18003003700,18003003700,"Census Tract 37, Allen County, Indiana",19280,3000
1400000US18003003800,18003003800,"Census Tract 38, Allen County, Indiana",19169,2528
1400000US18003003901,18003003901,"Census Tract 39.01, Allen County, Indiana",23147,2184
1400000US18003003902,18003003902,"Census Tract 39.02, Allen County, Indiana",22157,3967
1400000US18003004000,18003004000,"Census Tract 40, Allen County, Indiana",15374,2053
1400000US18003004101,18003004101,"Census Tract 41.01, Allen County, Indiana",21999,2425
1400000US18003004103,18003004103,"Census Tract 41.03, Allen County, Indiana",22551,2494
1400000US18003004300,18003004300,"Census Tract 43, Allen County, Indiana",12120,1615
1400000US18003004400,18003004400,"Census Tract 44, Allen County, Indiana",9554,1608
1400000US18003010100,18003010100,"Census Tract 101, Allen County, Indiana",22421,3352
1400000US18003010201,18003010201,"Census Tract 102.01, Allen County, Indiana",32460,3887
1400000US18003010202,18003010202,"Census Tract 102.02, Allen County, Indiana",26076,2382
1400000US18003010304,18003010304,"Census Tract 103.04, Allen County, Indiana",35040,2649
1400000US18003010305,18003010305,"Census Tract 103.05, Allen County, Indiana",49039,8888
1400000US18003010306,18003010306,"Census Tract 103.06, Allen County, Indiana",33786,3249
1400000US18003010307,18003010307,"Census Tract 103.07, Allen County, Indiana",28186,2544
1400000US18003010308,18003010308,"Census Tract 103.08, Allen County, Indiana",37020,4258
1400000US18003010400,18003010400,"Census Tract 104, Allen County, Indiana",32281,3336
1400000US18003010500,18003010500,"Census Tract 105, Allen County, Indiana",32500,4358
1400000US18003010601,18003010601,"Census Tract 106.01, Allen County, Indiana",29145,2307
1400000US18003010602,18003010602,"Census Tract 106.02, Allen County, Indiana",21925,2081
1400000US18003010603,18003010603,"Census Tract 106.03, Allen County, Indiana",25083,1879
1400000US18003010604,18003010604,"Census Tract 106.04, Allen County, Indiana",12537,1583
1400000US18003010705,18003010705,"Census Tract 107.05, Allen County, Indiana",27671,2621
1400000US18003010706,18003010706,"Census Tract 107.06, Allen County, Indiana",25193,2110
1400000US18003010707,18003010707,"Census Tract 107.07, Allen County, Indiana",39907,5458
1400000US18003010803,18003010803,"Census Tract 108.03, Allen County, Indiana",25612,1935
1400000US18003010804,18003010804,"Census Tract 108.04, Allen County, Indiana",24753,2948
1400000US18003010807,18003010807,"Census Tract 108.07, Allen County, Indiana",25214,2107
1400000US18003010808,18003010808,"Census Tract 108.08, Allen County, Indiana",31762,2617
1400000US18003010809,18003010809,"Census Tract 108.09, Allen County, Indiana",25844,3502
1400000US18003010811,18003010811,"Census Tract 108.11, Allen County, Indiana",29506,3144
1400000US18003010812,18003010812,"Census Tract 108.12, Allen County, Indiana",27186,1832
1400000US18003010813,18003010813,"Census Tract 108.13, Allen County, Indiana",27207,2520
1400000US18003010815,18003010815,"Census Tract 108.15, Allen County, Indiana",31293,2401
1400000US18003010816,18003010816,"Census Tract 108.16, Allen County, Indiana",35198,4081
1400000US18003010817,18003010817,"Census Tract 108.17, Allen County, Indiana",27160,2956
1400000US18003010819,18003010819,"Census Tract 108.19, Allen County, Indiana",24035,4491
1400000US18003010821,18003010821,"Census Tract 108.21, Allen County, Indiana",22632,5432
1400000US18003010900,18003010900,"Census Tract 109, Allen County, Indiana",22687,1971
1400000US18003011000,18003011000,"Census Tract 110, Allen County, Indiana",24700,1954
1400000US18003011100,18003011100,"Census Tract 111, Allen County, Indiana",21058,1969
1400000US18003011201,18003011201,"Census Tract 112.01, Allen County, Indiana",13766,2000
1400000US18003011202,18003011202,"Census Tract 112.02, Allen County, Indiana",20836,2874
1400000US18003011204,18003011204,"Census Tract 112.04, Allen County, Indiana",22293,1505
1400000US18003011205,18003011205,"Census Tract 112.05, Allen County, Indiana",25072,3107
1400000US18003011302,18003011302,"Census Tract 113.02, Allen County, Indiana",17669,3630
1400000US18003011303,18003011303,"Census Tract 113.03, Allen County, Indiana",14029,1829
1400000US18003011304,18003011304,"Census Tract 113.04, Allen County, Indiana",23967,7255
1400000US18003011501,18003011501,"Census Tract 115.01, Allen County, Indiana",24130,3699
1400000US18003011502,18003011502,"Census Tract 115.02, Allen County, Indiana",26471,2692
1400000US18003011603,18003011603,"Census Tract 116.03, Allen County, Indiana",46417,8223
1400000US18003011604,18003011604,"Census Tract 116.04, Allen County, Indiana",32244,3194
1400000US18003011605,18003011605,"Census Tract 116.05, Allen County, Indiana",36092,4382
1400000US18003011606,18003011606,"Census Tract 116.06, Allen County, Indiana",38270,3343
1400000US18003011607,18003011607,"Census Tract 116.07, Allen County, Indiana",32025,3017
1400000US18003011608,18003011608,"Census Tract 116.08, Allen County, Indiana",55418,8887
1400000US18003011609,18003011609,"Census Tract 116.09, Allen County, Indiana",57184,9972
1400000US18003011701,18003011701,"Census Tract 117.01, Allen County, Indiana",36360,5841
1400000US18003011702,18003011702,"Census Tract 117.02, Allen County, Indiana",26058,2910
1400000US18003011801,18003011801,"Census Tract 118.01, Allen County, Indiana",27373,3049
1400000US18003011802,18003011802,"Census Tract 118.02, Allen County, Indiana",24489,2766
1400000US18003011900,18003011900,"Census Tract 119, Allen County, Indiana",25360,2351
1400000US18003980001,18003980001,"Census Tract 9800.01, Allen County, Indiana",7060,2110
1400000US18003980002,18003980002,"Census Tract 9800.02, Allen County, Indiana",8010,12006
1400000US18005010100,18005010100,"Census Tract 101, Bartholomew County, Indiana",24801,4912
1400000US18005010200,18005010200,"Census Tract 102, Bartholomew County, Indiana",28742,3295
1400000US18005010300,18005010300,"Census Tract 103, Bartholomew County, Indiana",44538,7040
1400000US18005010400,18005010400,"Census Tract 104, Bartholomew County, Indiana",30103,4199
1400000US18005010500,18005010500,"Census Tract 105, Bartholomew County, Indiana",33427,2866
1400000US18005010600,18005010600,"Census Tract 106, Bartholomew County, Indiana",26746,3601
1400000US18005010700,18005010700,"Census Tract 107, Bartholomew County, Indiana",24695,2541
1400000US18005010800,18005010800,"Census Tract 108, Bartholomew County, Indiana",19440,2236
1400000US18005010900,18005010900,"Census Tract 109, Bartholomew County, Indiana",46217,4515
1400000US18005011000,18005011000,"Census Tract 110, Bartholomew County, Indiana",34584,4069
1400000US18005011100,18005011100,"Census Tract 111, Bartholomew County, Indiana",19927,2137
1400000US18005011200,18005011200,"Census Tract 112, Bartholomew County, Indiana",24799,2088
1400000US18005011300,18005011300,"Census Tract 113, Bartholomew County, Indiana",27614,2710
1400000US18005011400,18005011400,"Census Tract 114, Bartholomew County, Indiana",22546,1536
1400000US18005011500,18005011500,"Census Tract 115, Bartholomew County, Indiana",25721,2315
1400000US18007100100,18007100100,"Census Tract 1001, Benton County, Indiana",23762,2202
1400000US18007100200,18007100200,"Census Tract 1002, Benton County, Indiana",23095,2050
1400000US18007100300,18007100300,"Census Tract 1003, Benton County, Indiana",22467,1761
1400000US18009975100,18009975100,"Census Tract 9751, Blackford County, Indiana",21517,1794
1400000US18009975200,18009975200,"Census Tract 9752, Blackford County, Indiana",21128,2142
1400000US18009975300,18009975300,"Census Tract 9753, Blackford County, Indiana",16833,2678
1400000US18009975400,18009975400,"Census Tract 9754, Blackford County, Indiana",27380,4625
1400000US18011810100,18011810100,"Census Tract 8101, Boone County, Indiana",30205,5325
1400000US18011810200,18011810200,"Census Tract 8102, Boone County, Indiana",28933,3023
1400000US18011810300,18011810300,"Census Tract 8103, Boone County, Indiana",27501,2629
1400000US18011810400,18011810400,"Census Tract 8104, Boone County, Indiana",23251,3286
1400000US18011810500,18011810500,"Census Tract 8105, Boone County, Indiana",36899,9513
1400000US18011810601,18011810601,"Census Tract 8106.01, Boone County, Indiana",38112,7100
1400000US18011810603,18011810603,"Census Tract 8106.03, Boone County, Indiana",50940,4617
1400000US18011810604,18011810604,"Census Tract 8106.04, Boone County, Indiana",55434,4999
1400000US18011810605,18011810605,"Census Tract 8106.05, Boone County, Indiana",62597,12412
1400000US18011810700,18011810700,"Census Tract 8107, Boone County, Indiana",29858,2481
1400000US18013974600,18013974600,"Census Tract 9746, Brown County, Indiana",32395,6844
1400000US18013974700,18013974700,"Census Tract 9747, Brown County, Indiana",25399,5502
1400000US18013974800,18013974800,"Census Tract 9748, Brown County, Indiana",30935,2985
1400000US18013974900,18013974900,"Census Tract 9749, Brown County, Indiana",32045,7455
1400000US18015959300,18015959300,"Census Tract 9593, Carroll County, Indiana",23265,2564
1400000US18015959400,18015959400,"Census Tract 9594, Carroll County, Indiana",33543,4788
1400000US18015959500,18015959500,"Census Tract 9595, Carroll County, Indiana",25941,3321
1400000US18015959600,18015959600,"Census Tract 9596, Carroll County, Indiana",20131,1681
1400000US18015959700,18015959700,"Census Tract 9597, Carroll County, Indiana",30329,3176
1400000US18015959800,18015959800,"Census Tract 9598, Carroll County, Indiana",23020,2766
1400000US18015959900,18015959900,"Census Tract 9599, Carroll County, Indiana",25043,2820
1400000US18017950900,18017950900,"Census Tract 9509, Cass County, Indiana",29479,4412
1400000US18017951000,18017951000,"Census Tract 9510, Cass County, Indiana",23882,4117
1400000US18017951100,18017951100,"Census Tract 9511, Cass County, Indiana",24079,2229
1400000US18017951200,18017951200,"Census Tract 9512, Cass County, Indiana",17726,1817
1400000US18017951300,18017951300,"Census Tract 9513, Cass County, Indiana",17832,2437
1400000US18017951400,18017951400,"Census Tract 9514, Cass County, Indiana",17871,1827
1400000US18017951500,18017951500,"Census Tract 9515, Cass County, Indiana",14697,1546
1400000US18017951600,18017951600,"Census Tract 9516, Cass County, Indiana",22365,3552
1400000US18017951700,18017951700,"Census Tract 9517, Cass County, Indiana",26018,2643
1400000US18017951800,18017951800,"Census Tract 9518, Cass County, Indiana",21114,2107
1400000US18017951900,18017951900,"Census Tract 9519, Cass County, Indiana",29691,7288
1400000US18019050100,18019050100,"Census Tract 501, Clark County, Indiana",34536,7644
1400000US18019050200,18019050200,"Census Tract 502, Clark County, Indiana",17419,3603
1400000US18019050303,18019050303,"Census Tract 503.03, Clark County, Indiana",19425,2019
1400000US18019050304,18019050304,"Census Tract 503.04, Clark County, Indiana",24460,6094
1400000US18019050305,18019050305,"Census Tract 503.05, Clark County, Indiana",31967,4916
1400000US18019050306,18019050306,"Census Tract 503.06, Clark County, Indiana",20115,3481
1400000US18019050401,18019050401,"Census Tract 504.01, Clark County, Indiana",22210,3273
1400000US18019050403,18019050403,"Census Tract 504.03, Clark County, Indiana",19708,2386
1400000US18019050404,18019050404,"Census Tract 504.04, Clark County, Indiana",24805,2777
1400000US18019050501,18019050501,"Census Tract 505.01, Clark County, Indiana",28675,2423
1400000US18019050503,18019050503,"Census Tract 505.03, Clark County, Indiana",20145,2308
1400000US18019050504,18019050504,"Census Tract 505.04, Clark County, Indiana",18605,1995
1400000US18019050603,18019050603,"Census Tract 506.03, Clark County, Indiana",22833,2268
1400000US18019050604,18019050604,"Census Tract 506.04, Clark County, Indiana",25205,2753
1400000US18019050605,18019050605,"Census Tract 506.05, Clark County, Indiana",27684,2898
1400000US18019050606,18019050606,"Census Tract 506.06, Clark County, Indiana",33335,4700
1400000US18019050701,18019050701,"Census Tract 507.01, Clark County, Indiana",31273,2772
1400000US18019050703,18019050703,"Census Tract 507.03, Clark County, Indiana",23830,2822
1400000US18019050704,18019050704,"Census Tract 507.04, Clark County, Indiana",31006,2926
1400000US18019050801,18019050801,"Census Tract 508.01, Clark County, Indiana",32036,3445
1400000US18019050803,18019050803,"Census Tract 508.03, Clark County, Indiana",28864,3457
1400000US18019050804,18019050804,"Census Tract 508.04, Clark County, Indiana",27493,3144
1400000US18019050902,18019050902,"Census Tract 509.02, Clark County, Indiana",22913,2309
1400000US18019050903,18019050903,"Census Tract 509.03, Clark County, Indiana",20869,2268
1400000US18019050904,18019050904,"Census Tract 509.04, Clark County, Indiana",28007,2939
1400000US18019051000,18019051000,"Census Tract 510, Clark County, Indiana",24864,3467
1400000US18021040100,18021040100,"Census Tract 401, Clay County, Indiana",16867,2169
1400000US18021040200,18021040200,"Census Tract 402, Clay County, Indiana",22154,2166
1400000US18021040300,18021040300,"Census Tract 403, Clay County, Indiana",26504,2603
1400000US18021040400,18021040400,"Census Tract 404, Clay County, Indiana",26537,2719
1400000US18021040500,18021040500,"Census Tract 405, Clay County, Indiana",25016,2652
1400000US18021040600,18021040600,"Census Tract 406, Clay County, Indiana",24524,2466
1400000US18023950100,18023950100,"Census Tract 9501, Clinton County, Indiana",26787,3032
1400000US18023950200,18023950200,"Census Tract 9502, Clinton County, Indiana",29884,2565
1400000US18023950300,18023950300,"Census Tract 9503, Clinton County, Indiana",25247,2150
1400000US18023950400,18023950400,"Census Tract 9504, Clinton County, Indiana",28290,5207
1400000US18023950500,18023950500,"Census Tract 9505, Clinton County, Indiana",15603,1939
1400000US18023950600,18023950600,"Census Tract 9506, Clinton County, Indiana",19056,2275
1400000US18023950700,18023950700,"Census Tract 9507, Clinton County, Indiana",25500,2933
1400000US18023950800,18023950800,"Census Tract 9508, Clinton County, Indiana",13821,1947
1400000US18025951900,18025951900,"Census Tract 9519, Crawford County, Indiana",18981,1458
1400000US18025952000,18025952000,"Census Tract 9520, Crawford County, Indiana",19869,1493
1400000US18025952100,18025952100,"Census Tract 9521, Crawford County, Indiana",20657,2394
1400000US18027954300,18027954300,"Census Tract 9543, Daviess County, Indiana",22628,2248
1400000US18027954400,18027954400,"Census Tract 9544, Daviess County, Indiana",24759,2232
1400000US18027954500,18027954500,"Census Tract 9545, Daviess County, Indiana",19436,1545
1400000US18027954600,18027954600,"Census Tract 9546, Daviess County, Indiana",24237,1764
1400000US18027954700,18027954700,"Census Tract 9547, Daviess County, Indiana",16781,2753
1400000US18027954800,18027954800,"Census Tract 9548, Daviess County, Indiana",20526,3263
1400000US18027954900,18027954900,"Census Tract 9549, Daviess County, Indiana",24766,2363
1400000US18029080101,18029080101,"Census Tract 801.01, Dearborn County, Indiana",24413,2695
1400000US18029080103,18029080103,"Census Tract 801.03, Dearborn County, Indiana",40332,11830
1400000US18029080104,18029080104,"Census Tract 801.04, Dearborn County, Indiana",28464,2537
1400000US18029080201,18029080201,"Census Tract 802.01, Dearborn County, Indiana",31053,2260
1400000US18029080202,18029080202,"Census Tract 802.02, Dearborn County, Indiana",28549,2114
1400000US18029080300,18029080300,"Census Tract 803, Dearborn County, Indiana",23146,3261
1400000US18029080400,18029080400,"Census Tract 804, Dearborn County, Indiana",29650,3414
1400000US18029080500,18029080500,"Census Tract 805, Dearborn County, Indiana",20692,2332
1400000US18029080600,18029080600,"Census Tract 806, Dearborn County, Indiana",27468,2673
1400000US18029080700,18029080700,"Census Tract 807, Dearborn County, Indiana",28192,2851
1400000US18031969000,18031969000,"Census Tract 9690, Decatur County, Indiana",27050,3163
1400000US18031969100,18031969100,"Census Tract 9691, Decatur County, Indiana",21240,2326
1400000US18031969200,18031969200,"Census Tract 9692, Decatur County, Indiana",19777,1526
1400000US18031969300,18031969300,"Census Tract 9693, Decatur County, Indiana",22731,2157
1400000US18031969400,18031969400,"Census Tract 9694, Decatur County, Indiana",28574,3422
1400000US18031969500,18031969500,"Census Tract 9695, Decatur County, Indiana",22500,2329
1400000US18033020100,18033020100,"Census Tract 201, DeKalb County, Indiana",25422,2441
1400000US18033020200,18033020200,"Census Tract 202, DeKalb County, Indiana",20039,1680
1400000US18033020300,18033020300,"Census Tract 203, DeKalb County, Indiana",21815,1910
1400000US18033020400,18033020400,"Census Tract 204, DeKalb County, Indiana",29570,2644
1400000US18033020500,18033020500,"Census Tract 205, DeKalb County, Indiana",28750,8213
1400000US18033020601,18033020601,"Census Tract 206.01, DeKalb County, Indiana",21634,3268
1400000US18033020602,18033020602,"Census Tract 206.02, DeKalb County, Indiana",18567,1665
1400000US18033020700,18033020700,"Census Tract 207, DeKalb County, Indiana",32179,4689
1400000US18033020800,18033020800,"Census Tract 208, DeKalb County, Indiana",24866,4068
1400000US18035000300,18035000300,"Census Tract 3, Delaware County, Indiana",12956,2833
1400000US18035000400,18035000400,"Census Tract 4, Delaware County, Indiana",11429,2469
1400000US18035000500,18035000500,"Census Tract 5, Delaware County, Indiana",14754,1816
1400000US18035000600,18035000600,"Census Tract 6, Delaware County, Indiana",14559,2454
1400000US18035000700,18035000700,"Census Tract 7, Delaware County, Indiana",10135,1500
1400000US18035000800,18035000800,"Census Tract 8, Delaware County, Indiana",21610,2140
1400000US18035000902,18035000902,"Census Tract 9.02, Delaware County, Indiana",4957,617
1400000US18035000903,18035000903,"Census Tract 9.03, Delaware County, Indiana",21856,7527
1400000US18035000904,18035000904,"Census Tract 9.04, Delaware County, Indiana",27720,4116
1400000US18035001000,18035001000,"Census Tract 10, Delaware County, Indiana",12106,1247
1400000US18035001100,18035001100,"Census Tract 11, Delaware County, Indiana",18026,1735
1400000US18035001200,18035001200,"Census Tract 12, Delaware County, Indiana",18208,7524
1400000US18035001300,18035001300,"Census Tract 13, Delaware County, Indiana",16652,1603
1400000US18035001400,18035001400,"Census Tract 14, Delaware County, Indiana",15364,1687
1400000US18035001500,18035001500,"Census Tract 15, Delaware County, Indiana",18523,2237
1400000US18035001600,18035001600,"Census Tract 16, Delaware County, Indiana",15509,1572
1400000US18035001700,18035001700,"Census Tract 17, Delaware County, Indiana",13393,2032
1400000US18035002000,18035002000,"Census Tract 20, Delaware County, Indiana",20795,3139
1400000US18035002100,18035002100,"Census Tract 21, Delaware County, Indiana",18116,2274
1400000US18035002200,18035002200,"Census Tract 22, Delaware County, Indiana",21870,2273
1400000US18035002301,18035002301,"Census Tract 23.01, Delaware County, Indiana",29658,3107
1400000US18035002302,18035002302,"Census Tract 23.02, Delaware County, Indiana",28023,4445
1400000US18035002401,18035002401,"Census Tract 24.01, Delaware County, Indiana",19814,1637
1400000US18035002402,18035002402,"Census Tract 24.02, Delaware County, Indiana",34599,2846
1400000US18035002500,18035002500,"Census Tract 25, Delaware County, Indiana",31471,5452
1400000US18035002601,18035002601,"Census Tract 26.01, Delaware County, Indiana",28968,3211
1400000US18035002602,18035002602,"Census Tract 26.02, Delaware County, Indiana",22168,2346
1400000US18035002700,18035002700,"Census Tract 27, Delaware County, Indiana",26967,3605
1400000US18035002800,18035002800,"Census Tract 28, Delaware County, Indiana",15299,2006
1400000US18035002900,18035002900,"Census Tract 29, Delaware County, Indiana",27571,2667
1400000US18037953200,18037953200,"Census Tract 9532, Dubois County, Indiana",36352,6429
1400000US18037953300,18037953300,"Census Tract 9533, Dubois County, Indiana",23671,1845
1400000US18037953400,18037953400,"Census Tract 9534, Dubois County, Indiana",28129,4383
1400000US18037953500,18037953500,"Census Tract 9535, Dubois County, Indiana",33838,4035
1400000US18037953600,18037953600,"Census Tract 9536, Dubois County, Indiana",23607,3040
1400000US18037953700,18037953700,"Census Tract 9537, Dubois County, Indiana",26398,1436
1400000US18037953800,18037953800,"Census Tract 9538, Dubois County, Indiana",20529,3124
1400000US18039000100,18039000100,"Census Tract 1, Elkhart County, Indiana",20195,3570
1400000US18039000200,18039000200,"Census Tract 2, Elkhart County, Indiana",18048,2428
1400000US18039000301,18039000301,"Census Tract 3.01, Elkhart County, Indiana",21073,1868
1400000US18039000302,18039000302,"Census Tract 3.02, Elkhart County, Indiana",22886,3065
1400000US18039000400,18039000400,"Census Tract 4, Elkhart County, Indiana",27633,4461
1400000US18039000501,18039000501,"Census Tract 5.01, Elkhart County, Indiana",19340,1978
1400000US18039000502,18039000502,"Census Tract 5.02, Elkhart County, Indiana",19380,2353
1400000US18039000600,18039000600,"Census Tract 6, Elkhart County, Indiana",28684,4012
1400000US18039000700,18039000700,"Census Tract 7, Elkhart County, Indiana",30878,3399
1400000US18039000801,18039000801,"Census Tract 8.01, Elkhart County, Indiana",19628,2600
1400000US18039000802,18039000802,"Census Tract 8.02, Elkhart County, Indiana",25128,2716
1400000US18039000900,18039000900,"Census Tract 9, Elkhart County, Indiana",22133,1762
1400000US18039001000,18039001000,"Census Tract 10, Elkhart County, Indiana",23904,1507
1400000US18039001100,18039001100,"Census Tract 11, Elkhart County, Indiana",24195,4547
1400000US18039001200,18039001200,"Census Tract 12, Elkhart County, Indiana",24489,3800
1400000US18039001300,18039001300,"Census Tract 13, Elkhart County, Indiana",23877,2295
1400000US18039001400,18039001400,"Census Tract 14, Elkhart County, Indiana",23727,1786
1400000US18039001501,18039001501,"Census Tract 15.01, Elkhart County, Indiana",16231,1731
1400000US18039001502,18039001502,"Census Tract 15.02, Elkhart County, Indiana",24854,2598
1400000US18039001601,18039001601,"Census Tract 16.01, Elkhart County, Indiana",22860,3117
1400000US18039001602,18039001602,"Census Tract 16.02, Elkhart County, Indiana",27467,3074
1400000US18039001701,18039001701,"Census Tract 17.01, Elkhart County, Indiana",24811,2812
1400000US18039001702,18039001702,"Census Tract 17.02, Elkhart County, Indiana",19956,2549
1400000US18039001801,18039001801,"Census Tract 18.01, Elkhart County, Indiana",30112,4174
1400000US18039001802,18039001802,"Census Tract 18.02, Elkhart County, Indiana",28548,3188
1400000US18039001901,18039001901,"Census Tract 19.01, Elkhart County, Indiana",16772,3564
1400000US18039001902,18039001902,"Census Tract 19.02, Elkhart County, Indiana",25794,3347
1400000US18039002000,18039002000,"Census Tract 20, Elkhart County, Indiana",24077,2561
1400000US18039002101,18039002101,"Census Tract 21.01, Elkhart County, Indiana",25934,3189
1400000US18039002102,18039002102,"Census Tract 21.02, Elkhart County, Indiana",12892,1774
1400000US18039002200,18039002200,"Census Tract 22, Elkhart County, Indiana",17186,2297
1400000US18039002300,18039002300,"Census Tract 23, Elkhart County, Indiana",12638,1855
1400000US18039002400,18039002400,"Census Tract 24, Elkhart County, Indiana",17631,1553
1400000US18039002600,18039002600,"Census Tract 26, Elkhart County, Indiana",12272,1937
1400000US18039002700,18039002700,"Census Tract 27, Elkhart County, Indiana",15708,6032
1400000US18039002900,18039002900,"Census Tract 29, Elkhart County, Indiana",20991,2263
1400000US18041954000,18041954000,"Census Tract 9540, Fayette County, Indiana",24452,2811
1400000US18041954100,18041954100,"Census Tract 9541, Fayette County, Indiana",21564,6448
1400000US18041954200,18041954200,"Census Tract 9542, Fayette County, Indiana",28977,5336
1400000US18041954300,18041954300,"Census Tract 9543, Fayette County, Indiana",18326,2461
1400000US18041954400,18041954400,"Census Tract 9544, Fayette County, Indiana",15595,1921
1400000US18041954500,18041954500,"Census Tract 9545, Fayette County, Indiana",24269,4699
1400000US18041954600,18041954600,"Census Tract 9546, Fayette County, Indiana",19380,2225
1400000US18043070200,18043070200,"Census Tract 702, Floyd County, Indiana",18589,3128
1400000US18043070301,18043070301,"Census Tract 703.01, Floyd County, Indiana",28935,2590
1400000US18043070302,18043070302,"Census Tract 703.02, Floyd County, Indiana",25083,2146
1400000US18043070400,18043070400,"Census Tract 704, Floyd County, Indiana",29007,11751
