FID,STATEFP,PLACEFP,PLACENS,AFFGEOID,GEOID,NAME,LSAD,ALAND,AWATER,X,Y
0,18,52398,02396798,1600000US1852398,1852398,New Amsterdam,43,208375.000000000000000,62986.000000000000000,152921.0000000,1039950.0000000
1,18,47628,02396742,1600000US1847628,1847628,Mauckport,43,489368.000000000000000,32599.000000000000000,174560.0000000,1012090.0000000
2,18,44370,02396719,1600000US1844370,1844370,Little York,43,2535992.000000000000000,0.000000000000000,260195.0000000,1257030.0000000
3,18,57726,02396845,1600000US1857726,1857726,Palmyra,43,3206608.000000000000000,108810.000000000000000,201436.0000000,1151190.0000000
4,18,44424,02396720,1600000US1844424,1844424,Livonia,43,2685324.000000000000000,4014.000000000000000,153328.0000000,1204920.0000000
5,18,10000,02396625,1600000US1810000,1810000,Campbellsburg,43,2568971.000000000000000,5103.000000000000000,158250.0000000,1240050.0000000
6,18,67626,02396903,1600000US1867626,1867626,Saltillo,43,2981853.000000000000000,5397.000000000000000,147968.0000000,1245520.0000000
7,18,26206,02393016,1600000US1826206,1826206,Galena,57,6916671.000000000000000,21725.000000000000000,250500.0000000,1130310.0000000
8,18,53298,02396804,1600000US1853298,1853298,New Middletown,43,106500.000000000000000,0.000000000000000,217589.0000000,1062390.0000000
9,18,78110,02397708,1600000US1878110,1878110,Utica,43,3087352.000000000000000,653989.000000000000000,331124.0000000,1125360.0000000
10,18,15256,02396664,1600000US1815256,1815256,Corydon,43,4274294.000000000000000,0.000000000000000,196130.0000000,1080250.0000000
11,18,31396,02396985,1600000US1831396,1831396,Hardinsburg,43,5270411.000000000000000,6506.000000000000000,154396.0000000,1171100.0000000
12,18,12124,02393805,1600000US1812124,1812124,Charlestown,25,29646490.000000000000000,101769.000000000000000,327776.0000000,1157780.0000000
13,18,20674,02396924,1600000US1820674,1820674,Elizabeth,43,650905.000000000000000,0.000000000000000,239722.0000000,1047640.0000000
14,18,68670,02396911,1600000US1868670,1868670,Sellersburg,43,18902941.000000000000000,156191.000000000000000,298341.0000000,1148990.0000000
15,18,12934,02396649,1600000US1812934,1812934,Clarksville,43,26014721.000000000000000,515816.000000000000000,299184.0000000,1119730.0000000
16,18,42048,02396707,1600000US1842048,1842048,Lanesville,43,1354354.000000000000000,0.000000000000000,236404.0000000,1088010.0000000
17,18,38358,02395463,1600000US1838358,1838358,Jeffersonville,25,88314778.000000000000000,740285.000000000000000,317770.0000000,1125240.0000000
18,18,53388,02396806,1600000US1853388,1853388,New Pekin,43,6138682.000000000000000,87586.000000000000000,228345.0000000,1185600.0000000
19,18,02800,02397445,1600000US1802800,1802800,Austin,25,6778295.000000000000000,0.000000000000000,286676.0000000,1272400.0000000
20,18,29844,02396977,1600000US1829844,1829844,Greenville,43,2019331.000000000000000,224.000000000000000,236915.0000000,1137800.0000000
21,18,33142,02393047,1600000US1833142,1833142,Henryville,57,7374015.000000000000000,8342.000000000000000,299819.0000000,1198770.0000000
22,18,67464,02396525,1600000US1867464,1867464,Salem,25,10359587.000000000000000,45871.000000000000000,204915.0000000,1222800.0000000
23,18,68526,02396560,1600000US1868526,1868526,Scottsburg,25,13736412.000000000000000,63042.000000000000000,294863.0000000,1251860.0000000
24,18,40644,02396701,1600000US1840644,1840644,Laconia,43,128552.000000000000000,0.000000000000000,207441.0000000,1014110.0000000
25,18,52326,02395181,1600000US1852326,1852326,New Albany,25,38690314.000000000000000,440994.000000000000000,282891.0000000,1114390.0000000
26,18,06634,02396596,1600000US1806634,1806634,Borden,43,3604507.000000000000000,1177.000000000000000,247236.0000000,1173510.0000000
27,18,25720,02761658,1600000US1825720,1825720,Fredericksburg,57,2784729.000000000000000,49522.000000000000000,176191.0000000,1161200.0000000
28,18,53586,02629883,1600000US1853586,1853586,New Salisbury,57,5121805.000000000000000,0.000000000000000,203744.0000000,1116900.0000000
29,18,53820,02393150,1600000US1853820,1853820,New Washington,57,13486028.000000000000000,38659.000000000000000,362549.0000000,1208290.0000000
30,18,27324,02396958,1600000US1827324,1827324,Georgetown,43,5307376.000000000000000,46358.000000000000000,243107.0000000,1110130.0000000
31,18,15634,02396666,1600000US1815634,1815634,Crandall,43,263785.000000000000000,0.000000000000000,213489.0000000,1107420.0000000
32,18,48384,02393125,1600000US1848384,1848384,Memphis,57,6727882.000000000000000,59265.000000000000000,299112.0000000,1180430.0000000
