FID,Store_Name,Sells_fres,Longitude,Latitude,Address,City,State,Zip5,Zip4,County
0,DOLLAR GENERAL 1134,0.000000000000000,-85.803580999999994,38.740622999999999,170 S Highway 31,Austin,IN,47102.000000000000000,1326.000000000000000,SCOTT
1,PAPA MURPHY'S TAKE-N-BAKE PIZZA,0.000000000000000,-85.759879999999995,38.328747000000000,1305 Veterans Pkwy,Clarksville,IN,47129.000000000000000,7750.000000000000000,CLARK
2,Meijer Inc 220,1.000000000000000,-85.795715000000001,38.350059999999999,4222 Charlestown Rd,New Albany,IN,47150.000000000000000,9567.000000000000000,FLOYD
3,Davis Nursery and Country Market,1.000000000000000,-85.725182000000004,38.300826999999998,1708 E 10th St,Jeffersonville,IN,47130.000000000000000,6273.000000000000000,CLARK
4,SAV-A-STEP FOOD MART #41,0.000000000000000,-86.110016000000002,38.407867000000003,14195 Greene St NE,Palmyra,IN,47164.000000000000000,8110.000000000000000,HARRISON
5,Target Store 2068,1.000000000000000,-85.764403999999999,38.326244000000003,1125 Veterans Pkwy,Clarksville,IN,47129.000000000000000,2371.000000000000000,CLARK
6,JAY-C PLUS 57,1.000000000000000,-85.672516000000002,38.452126000000000,9501 Highway 403,Charlestown,IN,47111.000000000000000,8939.000000000000000,CLARK
7,Circle K 52,0.000000000000000,-85.912796000000000,38.288994000000002,1038 W Knable Rd,Georgetown,IN,47122.000000000000000,9181.000000000000000,FLOYD
8,Circle K 126,0.000000000000000,-85.758719999999997,38.295867999999999,419 Eastern Blvd,Clarksville,IN,47129.000000000000000,2837.000000000000000,CLARK
9,WALGREENS 09710,0.000000000000000,-85.896422999999999,38.314075000000003,200 Lafollette Sta S,Floyds Knobs,IN,47119.000000000000000,9776.000000000000000,FLOYD
10,THORNTON OIL 156,0.000000000000000,-85.830771999999996,38.296309999999998,1401 State Road 111,New Albany,IN,47150.000000000000000,6033.000000000000000,FLOYD
