FID,STATEFP10,COUNTYFP10,TRACTCE10,GEOID10,NAME10,NAMELSAD10,MTFCC10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,STCTFIPS,STFIPS,CNTY,CNTYFIPS,TRACT,6digTRACT,Master_GEO,Combined_F,2013_year,CNTY_name,Sq_MI,STFIPS_1,CNTYFIPS_1,6digTRAC_1,Master_G_1,CNTY_nam_1,totpop_11_,Pct_In_Pov,Median_HH,PCT_Associ,PCT_HS_GED,PCT_Some_C,PCT_BA_or,PCT_unempl,Area_MI_sq,pop_per_MI
0,18,175,967300,18175967300,9673,Census Tract 9673,G5020,S,330636745.000000000000000,2932269.000000000000000,+38.7021453,-086.1788695,18175.0000000,18,175.000000000000000,175,967300.000000000000000,967300,18175967300,18175,2013,Washington,0.000000000000000,18,175,967300,18175967300,Washington,4804.000000000000000,0.189148936170000,36833.000000000000000,0.060643564356400,0.495049504950000,0.229888613861000,0.087871287128700,0.091044037605100,128.789498675999990,37
1,18,175,967400,18175967400,9674,Census Tract 9674,G5020,S,342099133.000000000000000,1459585.000000000000000,+38.5385598,-086.2258824,18175.0000000,18,175.000000000000000,175,967400.000000000000000,967400,18175967400,18175,2013,Washington,0.000000000000000,18,175,967400,18175967400,Washington,4594.000000000000000,0.154104979812000,40417.000000000000000,0.084186939820700,0.448783610755000,0.274647887324000,0.081626120358500,0.042897998093400,132.647510192000000,35
2,18,175,967200,18175967200,9672,Census Tract 9672,G5020,S,335886142.000000000000000,1231746.000000000000000,+38.6378371,-085.9532607,18175.0000000,18,175.000000000000000,175,967200.000000000000000,967200,18175967200,18175,2013,Washington,0.000000000000000,18,175,967200,18175967200,Washington,4459.000000000000000,0.111908499664000,53604.000000000000000,0.090067639729400,0.497330010680000,0.297970808117000,0.092915628337500,0.085337105139100,130.155349379000000,34
3,18,175,967600,18175967600,9676,Census Tract 9676,G5020,S,81736789.000000000000000,429212.000000000000000,+38.6036558,-086.0627512,18175.0000000,18,175.000000000000000,175,967600.000000000000000,967600,18175967600,18175,2013,Washington,0.000000000000000,18,175,967600,18175967600,Washington,4442.000000000000000,0.151522140221000,43315.000000000000000,0.101881894873000,0.381570408825000,0.319922128488000,0.129785853342000,0.092978208232400,31.723285261699999,140
4,18,175,967700,18175967700,9677,Census Tract 9677,G5020,S,236323908.000000000000000,1391401.000000000000000,+38.4897435,-086.0667290,18175.0000000,18,175.000000000000000,175,967700.000000000000000,967700,18175967700,18175,2013,Washington,0.000000000000000,18,175,967700,18175967700,Washington,6584.000000000000000,0.122417982989000,44250.000000000000000,0.074794638997000,0.462170341548000,0.212710765240000,0.177691309987000,0.139390352175000,91.779178270700001,72
5,18,175,967500,18175967500,9675,Census Tract 9675,G5020,S,3859614.000000000000000,0.000000000000000,+38.6060960,-086.1060656,18175.0000000,18,175.000000000000000,175,967500.000000000000000,967500,18175967500,18175,2013,Washington,0.000000000000000,18,175,967500,18175967500,Washington,3047.000000000000000,0.220642978003000,33991.000000000000000,0.076167076167100,0.474201474201000,0.230466830467000,0.155773955774000,0.147759103641000,1.490157579410000,2045
6,18,019,051000,18019051000,510,Census Tract 510,G5020,S,263182643.000000000000000,2279044.000000000000000,+38.5461726,-085.5546081,18019.0000000,18,19.000000000000000,019,51000.000000000000000,051000,18019051000,18019,2013,Clark,0.000000000000000,18,019,051000,18019051000,Clark,4956.000000000000000,0.110573042776000,52154.000000000000000,0.085858585858600,0.410279263220000,0.307783719548000,0.143790849673000,0.094211576846300,102.488838267999990,48
7,18,019,050801,18019050801,508.01,Census Tract 508.01,G5020,S,168852916.000000000000000,1711901.000000000000000,+38.4482193,-085.9012008,18019.0000000,18,19.000000000000000,019,50801.000000000000000,050801,18019050801,18019,2013,Clark,0.000000000000000,18,019,050801,18019050801,Clark,6516.000000000000000,0.063535911602200,70035.000000000000000,0.067307692307700,0.253553511706000,0.343436454849000,0.298494983278000,0.049568965517200,65.851739469300000,99
8,18,019,050902,18019050902,509.02,Census Tract 509.02,G5020,S,89297663.000000000000000,852237.000000000000000,+38.4661973,-085.6325794,18019.0000000,18,19.000000000000000,019,50902.000000000000000,050902,18019050902,18019,2013,Clark,0.000000000000000,18,019,050902,18019050902,Clark,4763.000000000000000,0.144236825530000,50771.000000000000000,0.111404087014000,0.374423203691000,0.389255108767000,0.072181938035600,0.050068274920300,34.804770775100003,137
9,18,019,050200,18019050200,502,Census Tract 502,G5020,S,3084972.000000000000000,1983.000000000000000,+38.2850285,-085.7456548,18019.0000000,18,19.000000000000000,019,50200.000000000000000,050200,18019050200,18019,2013,Clark,0.000000000000000,18,019,050200,18019050200,Clark,3712.000000000000000,0.293752044488000,25547.000000000000000,0.050748448338800,0.445418035779000,0.227090178897000,0.089083607155900,0.152387640449000,1.191801873230000,3115
10,18,019,050401,18019050401,504.01,Census Tract 504.01,G5020,S,5450718.000000000000000,199299.000000000000000,+38.2848041,-085.7689892,18019.0000000,18,19.000000000000000,019,50401.000000000000000,050401,18019050401,18019,2013,Clark,0.000000000000000,18,019,050401,18019050401,Clark,3087.000000000000000,0.130691123485000,41206.000000000000000,0.069821930646700,0.435332708529000,0.253514526710000,0.138238050609000,0.107493857494000,2.181342931390000,1415
11,18,019,050501,18019050501,505.01,Census Tract 505.01,G5020,S,2839531.000000000000000,99446.000000000000000,+38.3157385,-085.7876761,18019.0000000,18,19.000000000000000,019,50501.000000000000000,050501,18019050501,18019,2013,Clark,0.000000000000000,18,019,050501,18019050501,Clark,1700.000000000000000,0.113529411765000,53580.000000000000000,0.097580645161300,0.329032258065000,0.304838709677000,0.236290322581000,0.024479804161600,1.134672742230000,1498
12,18,019,050503,18019050503,505.03,Census Tract 505.03,G5020,S,2864630.000000000000000,6528.000000000000000,+38.3245462,-085.7727249,18019.0000000,18,19.000000000000000,019,50503.000000000000000,050503,18019050503,18019,2013,Clark,0.000000000000000,18,019,050503,18019050503,Clark,5184.000000000000000,0.095871913580200,39792.000000000000000,0.136613603473000,0.325904486252000,0.333719247467000,0.182633863965000,0.048790487904900,1.108486068340000,4677
13,18,019,050504,18019050504,505.04,Census Tract 505.04,G5020,S,11400162.000000000000000,245864.000000000000000,+38.3319796,-085.7576222,18019.0000000,18,19.000000000000000,019,50504.000000000000000,050504,18019050504,18019,2013,Clark,0.000000000000000,18,019,050504,18019050504,Clark,3271.000000000000000,0.229840026118000,24076.000000000000000,0.026246719160100,0.445319335083000,0.169728783902000,0.121609798775000,0.066558441558400,4.496263501050000,727
